Sl.No.,Factor,Bengaluru Central,Ramanagara,Tumkuru,Kolara,Chikkaballapura,Mysore City,Mysore Rural,Mandya,Chamarajanagar,Hassan,Chikkamagaluru,Mangaluru,Puttur,Davanagere,Shivamoga,Chitradurga,KSRTC
1,Schedules(As on last day),595,457,568,512,515,360,618,418,464,522,495,492,490,339,323,276,7444
2,Fleet Held (As on last day),733,494,617,539,564,431,688,447,509,547,526,569,542,358,352,303,8219
3,Fleet Utilisation (%),66.1,87.6,87.7,90,90.2,79.4,83.3,89.4,89.4,93.1,93.7,84.5,87.2,94.2,86.6,90.7,86.3
4,% off road  vehicles,5.8,3.4,5.2,4.8,2.7,3.3,6,4.3,5.3,5.7,3.8,6.5,4.2,4.3,4.1,8.5,4.9
5,Schedule kms (in lakh),57.2,40.52,54.76,48.09,51.48,21.29,61.48,42.57,45.05,52.77,50.86,50.81,43.66,32.77,31.74,28.74,713.81
6,Effective Kilometers (in lakh),59.54,39.36,52.68,47.71,51.06,20.82,61.13,39.95,43.72,51.09,49.92,50.38,42.48,32.96,31.82,27.42,702.05
7,Vehicle Utilisation (in kms),436,325,349,351,358,217,381,357,343,360,362,374,321,349,373,356,353
8,Gross kms (in lakh),61.65,40.53,54.05,48.87,52.78,21.58,62.91,41,44.67,53.31,51.75,51.31,43.33,34.01,34.14,28.53,724.42
9,HSD consumed (in lakh),13.11,7.94,10.15,9.26,9.77,4.76,12.75,7.94,8.52,10.5,9.89,10.95,8.76,6.42,6.74,5.39,142.86
10,KMPL (HSD),4.7,5.11,5.32,5.28,5.4,4.53,4.93,5.17,5.24,5.08,5.23,4.69,4.95,5.3,5.07,5.29,5.07
11,No.of Break  downs,7,8,13,6,10,7,9,11,9,13,8,10,8,5,8,8,140
,Rate of BD per 10000 km,0.01,0.02,0.02,0.01,0.02,0.03,0.01,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.02
12,No. of Accidents,8,2,2,5,1,1,6,1,1,2,4,7,7,1,1,1,50
,Rate of Accdt per 100000 km,0.13,0.05,0.04,0.1,0.02,0.05,0.1,0.03,0.02,0.04,0.08,0.14,0.16,0.03,0.03,0.04,0.07
